end_month,water_level_absolute,water_level_relative,reservoir
2022-07-01,2225471,0.0186717438810459,ÅRSDALSVATN
2022-08-01,66326216,0.556478209669292,ÅRSDALSVATN
2022-09-01,66832615,0.560726906879733,ÅRSDALSVATN
2022-10-01,98049262,0.822635167022876,ÅRSDALSVATN
2022-11-01,170617411,1.43148331289832,ÅRSDALSVATN
2022-12-01,176428274,1.48023656363214,ÅRSDALSVATN
2023-01-01,158546283,1.33020632013081,ÅRSDALSVATN
2023-02-01,94677894,0.794349325587623,ÅRSDALSVATN
2023-03-01,4080,3.42312773496789e-05,ÅRSDALSVATN
2023-04-01,64679646,0.542663456153199,ÅRSDALSVATN
2023-05-01,65633000,0.550662114287127,ÅRSDALSVATN
2023-06-01,82022933,0.68817396288165,ÅRSDALSVATN
2023-07-01,38575255,0.323647120769507,ÅRSDALSVATN
2023-08-01,55081363,0.462133679816506,ÅRSDALSVATN
2023-09-01,85910220,0.720788374507827,ÅRSDALSVATN
2023-10-01,26140384,0.219318317336056,ÅRSDALSVATN
2023-11-01,146395248,1.22825890611839,ÅRSDALSVATN
2023-12-01,164435788,1.37961937873554,ÅRSDALSVATN
2020-02-01,18010503,0.185307441925256,ASKJELLDALSVATN
2020-03-01,25399,0.000261326611336706,ASKJELLDALSVATN
2020-04-01,512691,0.00527500301952153,ASKJELLDALSVATN
2020-05-01,6968548,0.0716983753209647,ASKJELLDALSVATN
2020-06-01,26816923,0.275915414546532,ASKJELLDALSVATN
2020-07-01,45993349,0.473218868388381,ASKJELLDALSVATN
2020-08-01,67751984,0.697090294502096,ASKJELLDALSVATN
2020-09-01,113033893,1.16298926036009,ASKJELLDALSVATN
2020-10-01,9211816,0.0947790330145774,ASKJELLDALSVATN
2020-11-01,97192551,1,ASKJELLDALSVATN
2020-12-01,145710,0.00149918896562351,ASKJELLDALSVATN
2021-01-01,84886802,0.873387941016179,ASKJELLDALSVATN
2021-02-01,59093789,0.608007387315104,ASKJELLDALSVATN
2021-03-01,31348598,0.322541158529731,ASKJELLDALSVATN
